Provider,Logo_URL
SBS On Demand,https://image.tmdb.org/t/p/w500/cR4okiAS0zcXb4ufs3mi4PImXPB.jpg
Videobuster,https://image.tmdb.org/t/p/w500/82hFfWsPYtyskBrnkL8Y36vHcVf.jpg
Foxtel Now,https://image.tmdb.org/t/p/w500/fejdSG7TwNQ5E0p6u7A6LVs280R.jpg
ABC iview,https://image.tmdb.org/t/p/w500/zR1TJmEwssf0ZThB2iByNtZi2Oo.jpg
FILMO,https://image.tmdb.org/t/p/w500/br0wtjMDSjMahkhzn5XAXYWyr3V.jpg
Cineplex,https://image.tmdb.org/t/p/w500/d1mUAhpJpxy0YMjwVOZ4lxAAbeT.jpg
Sundance Now,https://image.tmdb.org/t/p/w500/1Edma9SrJnqkQW3BqFd2rJNHZvX.jpg
iciTouTV,https://image.tmdb.org/t/p/w500/7rJJlPpuGz0DV5OLjVW1HzYaFj9.jpg
M6+,https://image.tmdb.org/t/p/w500/tmYzlEKeiWStvXwC1QdpXIASpN4.jpg
ABC,https://image.tmdb.org/t/p/w500/aEp5AORtajnh2rc7O33ui8pj2um.jpg
Movistar Plus+ Ficción Total ,https://image.tmdb.org/t/p/w500/f6TRLB3H4jDpFEZ0z2KWSSvu1SB.jpg
blue TV,https://image.tmdb.org/t/p/w500/47klot430ytIqldQUUx2avN45Sr.jpg
BritBox,https://image.tmdb.org/t/p/w500/d2Kx5XtHcd0DBwVwIe7D3X7Sifp.jpg
History,https://image.tmdb.org/t/p/w500/xqZSzhIcq8qaAU13rMhVhzDi4T8.jpg
Lifetime,https://image.tmdb.org/t/p/w500/tWq6XvHqPjBW1BZTpf4Nziy8CDD.jpg
Viu,https://image.tmdb.org/t/p/w500/o7WsYI2r1llIf9h6JTGVX9yTHPx.jpg
Catchplay,https://image.tmdb.org/t/p/w500/9qSVItdgkVHH3Rrl9db2yRWsgBq.jpg
iflix,https://image.tmdb.org/t/p/w500/vCTY2WtY1oJ8EKpp0UCz4SRpE4S.jpg
Claro video,https://image.tmdb.org/t/p/w500/21M5CpiOYGOhHj2sVPXqwt6yeTO.jpg
Netflix Kids,https://image.tmdb.org/t/p/w500/kwVegvKCinXTPuzZmYT1J3i1HJz.jpg
MagentaTV,https://image.tmdb.org/t/p/w500/nCsFBTEmlCMc5NA4fwPuluTz6AO.jpg
